Record_ID,Timestamp,Latitude,Longitude,Road_ID,Vehicle_Count,Avg_Speed_kmh,Vehicle_Type,Traffic_Density,Weather,Visibility_m,Road_Condition,Accident_Occurred,Accident_Severity,Alert_Generated,temperature,Humidity,Year,Month,Day,Hour,DayOfWeek,Accident_Flag,Alert_Flag
21,2019-03-19 08:49:00,11.98234551,95.34885279,RD-191,435,67,Mixed,High,Rain,5979,Dry,No,None,Yes,38.36,80.06,2019,3,19,8,Tuesday,0,1
22,2019-03-30 22:44:00,13.86969754,93.4022034,RD-352,320,42,Car,High,Snow,3450,Wet,No,None,No,24.18,64.64,2019,3,30,22,Saturday,0,0
23,2023-03-22 01:16:00,20.06290743,89.14126312,RD-323,192,87,Bike,Very High,Snow,3951,Slippery,No,None,Yes,28.76,68.78,2023,3,22,1,Wednesday,0,1
24,2021-02-09 05:12:00,24.9271749,94.60018501,RD-481,98,53,Mixed,High,Snow,2824,Dry,No,None,No,30.99,57.5,2021,2,9,5,Tuesday,0,0
25,2020-03-29 09:37:00,17.34571001,91.70432346,RD-331,273,112,Truck,High,Snow,4564,Slippery,No,None,Yes,33.68,61.72,2020,3,29,9,Sunday,0,1
26,2023-01-26 05:49:00,12.09652305,82.56536885,RD-44,469,16,Mixed,High,Clear,665,Under Maintenance,No,None,No,43.56,32.06,2023,1,26,5,Thursday,0,0
27,2023-11-07 02:57:00,35.26939105,82.56617519,RD-299,198,49,Truck,Low,Snow,699,Slippery,No,None,No,25.99,68.34,2023,11,7,2,Tuesday,0,0
28,2018-10-03 15:45:00,22.93075765,68.25493292,RD-301,36,106,Bus,Medium,Storm,2171,Dry,No,None,No,35.43,34.89,2018,10,3,15,Wednesday,0,0
29,2022-08-17 05:26:00,29.51452965,68.87724229,RD-133,260,87,Truck,Very High,Fog,8915,Slippery,No,None,No,37.77,56.1,2022,8,17,5,Wednesday,0,0
30,2019-01-04 08:40:00,28.1386191,89.64060025,RD-470,469,101,Bike,Medium,Storm,9075,Slippery,No,None,No,21.39,47.56,2019,1,4,8,Friday,0,0
31,2021-05-10 13:02:00,16.26200596,84.0882981,RD-417,200,49,Car,Very High,Clear,3553,Slippery,No,None,No,38.23,62.73,2021,5,10,13,Monday,0,0
32,2022-09-14 05:46:00,24.23599584,90.06778547,RD-39,137,9,Bike,Very High,Snow,4081,Dry,No,None,No,25.12,38.0,2022,9,14,5,Wednesday,0,0
33,2020-04-24 17:59:00,25.46275936,95.54022176,RD-12,425,69,Bus,Low,Rain,867,Dry,No,None,No,21.95,71.5,2020,4,24,17,Friday,0,0
34,2023-11-04 09:23:00,18.2019397,81.12338901,RD-34,325,39,Bike,Medium,Clear,7072,Slippery,No,None,No,48.47,77.7,2023,11,4,9,Saturday,0,0
35,2021-09-30 15:55:00,27.4522304,70.56492243,RD-102,428,39,Bike,Medium,Fog,8860,Dry,No,None,No,48.97,39.8,2021,9,30,15,Thursday,0,0
36,2020-05-23 03:48:00,30.92961999,86.17022383,RD-463,153,115,Bus,Medium,Rain,5111,Slippery,No,None,No,44.25,36.26,2020,5,23,3,Saturday,0,0
37,2022-02-14 20:16:00,18.56210597,70.89228056,RD-331,429,115,Bike,Very High,Rain,3705,Slippery,No,None,No,29.14,38.73,2022,2,14,20,Monday,0,0
38,2020-07-09 05:39:00,8.432545775,86.01778674,RD-228,321,35,Bus,Very High,Snow,4536,Slippery,No,None,No,22.93,82.63,2020,7,9,5,Thursday,0,0
39,2019-07-03 16:02:00,18.13074219,83.30442647,RD-415,167,40,Car,Very High,Fog,1490,Slippery,No,None,No,40.53,61.69,2019,7,3,16,Wednesday,0,0
40,2023-11-05 04:04:00,11.3876525,88.65429602,RD-66,238,44,Mixed,Low,Fog,9360,Wet,No,None,No,33.2,58.04,2023,11,5,4,Sunday,0,0
41,2021-04-10 01:22:00,12.51262879,78.17782716,RD-48,390,103,Car,Very High,Rain,3772,Wet,No,None,No,23.66,36.4,2021,4,10,1,Saturday,0,0
42,2023-12-01 17:38:00,18.61253483,72.17199223,RD-464,41,44,Car,Low,Fog,8171,Under Maintenance,No,None,No,34.86,68.97,2023,12,1,17,Friday,0,0
43,2018-06-18 06:55:00,14.02101185,74.85010437,RD-434,88,65,Car,Medium,Storm,6840,Slippery,No,None,No,21.03,82.08,2018,6,18,6,Monday,0,0
44,2022-02-14 19:57:00,35.11177965,87.82539613,RD-425,286,16,Bike,Low,Snow,8431,Slippery,No,None,Yes,47.28,79.69,2022,2,14,19,Monday,0,1
45,2018-12-08 23:37:00,26.93128475,81.86680189,RD-415,65,86,Car,High,Snow,4184,Dry,No,None,No,27.76,67.56,2018,12,8,23,Saturday,0,0
46,2022-08-02 00:41:00,23.03256062,83.68370694,RD-170,433,96,Bus,High,Storm,7148,Slippery,No,None,No,39.88,34.52,2022,8,2,0,Tuesday,0,0
47,2022-02-20 08:22:00,8.282005938,77.36695425,RD-63,358,17,Bus,Medium,Storm,888,Dry,No,None,No,29.35,36.74,2022,2,20,8,Sunday,0,0
48,2018-08-22 22:39:00,11.00491455,92.26436288,RD-22,63,34,Bus,High,Fog,8060,Under Maintenance,No,None,Yes,35.6,32.96,2018,8,22,22,Wednesday,0,1
49,2019-05-04 14:13:00,30.86585755,96.98419731,RD-483,423,44,Bus,Very High,Rain,6707,Wet,No,None,No,36.4,45.45,2019,5,4,14,Saturday,0,0
50,2022-10-02 02:12:00,19.30256913,77.05397714,RD-237,482,21,Car,High,Fog,7990,Wet,No,None,No,25.55,38.14,2022,10,2,2,Sunday,0,0
51,2018-06-05 12:01:00,9.319302687,88.84089674,RD-26,29,77,Truck,Low,Storm,4108,Dry,No,None,Yes,49.09,45.6,2018,6,5,12,Tuesday,0,1
52,2019-01-14 01:21:00,31.94121372,72.96190708,RD-87,211,107,Mixed,Very High,Snow,8017,Slippery,Yes,Fatal,No,43.25,53.1,2019,1,14,1,Monday,1,0
53,2021-04-03 22:43:00,16.77673438,89.53052615,RD-474,232,26,Truck,High,Snow,432,Dry,No,None,Yes,48.18,86.58,2021,4,3,22,Saturday,0,1
54,2023-05-01 06:54:00,19.20257304,80.49468976,RD-294,138,60,Bike,Medium,Snow,2550,Under Maintenance,No,None,No,46.84,66.62,2023,5,1,6,Monday,0,0
55,2018-03-16 11:44:00,36.25670305,85.55386502,RD-222,339,66,Car,High,Fog,3991,Wet,No,None,No,37.94,80.1,2018,3,16,11,Friday,0,0
56,2022-02-16 22:12:00,8.44986949,74.8892583,RD-421,155,61,Truck,Very High,Storm,8290,Slippery,Yes,Minor,No,47.66,72.62,2022,2,16,22,Wednesday,1,0
57,2023-10-04 00:34:00,28.9184074,92.69804532,RD-371,378,19,Car,High,Rain,3303,Slippery,No,None,No,22.65,36.75,2023,10,4,0,Wednesday,0,0
58,2018-12-09 09:12:00,35.51764111,73.02672393,RD-203,237,97,Bus,High,Fog,5631,Slippery,No,None,No,25.88,74.16,2018,12,9,9,Sunday,0,0
59,2018-07-30 02:25:00,9.851927888,94.92955778,RD-255,450,58,Bike,Low,Snow,3503,Wet,No,None,No,21.36,46.51,2018,7,30,2,Monday,0,0
60,2023-03-11 21:44:00,33.11623371,69.77620266,RD-16,324,20,Truck,Low,Storm,5172,Slippery,No,None,No,29.76,68.35,2023,3,11,21,Saturday,0,0
61,2021-12-08 02:40:00,20.07100911,76.35146493,RD-196,393,88,Mixed,Low,Rain,7340,Under Maintenance,No,None,No,31.66,50.46,2021,12,8,2,Wednesday,0,0
62,2023-03-21 17:25:00,33.46189896,84.32541943,RD-350,137,93,Bus,High,Clear,8294,Under Maintenance,No,None,No,28.14,89.86,2023,3,21,17,Tuesday,0,0
63,2018-03-22 08:41:00,16.93996319,92.89558893,RD-219,150,108,Bus,Low,Fog,3898,Wet,No,None,No,44.86,45.81,2018,3,22,8,Thursday,0,0
64,2020-08-02 00:39:00,36.49721889,84.73372085,RD-89,297,28,Bike,Low,Clear,4074,Wet,No,None,Yes,30.7,46.75,2020,8,2,0,Sunday,0,1
65,2020-04-25 19:09:00,26.76443288,74.26729702,RD-182,479,84,Bus,Low,Storm,2711,Wet,No,None,No,28.43,85.84,2020,4,25,19,Saturday,0,0
66,2022-09-27 12:18:00,26.18562045,92.91196821,RD-110,79,119,Bus,Medium,Clear,3887,Dry,No,None,No,36.28,31.48,2022,9,27,12,Tuesday,0,0
67,2022-05-28 12:49:00,31.3711981,85.28870121,RD-466,170,84,Truck,Very High,Snow,4459,Wet,No,None,Yes,24.23,71.8,2022,5,28,12,Saturday,0,1
68,2022-10-14 05:36:00,20.66099602,74.73806212,RD-96,458,29,Bus,Medium,Fog,6423,Wet,No,None,No,44.07,73.52,2022,10,14,5,Friday,0,0
69,2023-05-07 00:46:00,15.50141933,84.2934633,RD-141,12,50,Bike,High,Rain,4600,Dry,No,None,No,22.24,80.18,2023,5,7,0,Sunday,0,0
70,2019-12-19 14:47:00,15.62497559,87.58367859,RD-144,398,59,Car,High,Snow,2572,Slippery,No,None,No,49.61,88.47,2019,12,19,14,Thursday,0,0
71,2022-01-06 16:25:00,17.58750877,87.7352962,RD-229,379,116,Bike,Low,Storm,8502,Dry,No,None,No,43.17,88.54,2022,1,6,16,Thursday,0,0
72,2021-09-18 03:30:00,25.9032264,88.99613366,RD-453,484,5,Bike,Very High,Fog,7899,Under Maintenance,No,None,No,25.96,33.92,2021,9,18,3,Saturday,0,0
73,2019-11-08 16:20:00,32.31330219,93.9764031,RD-77,21,54,Car,Medium,Storm,5741,Under Maintenance,Yes,Fatal,Yes,20.17,79.31,2019,11,8,16,Friday,1,1
74,2018-01-19 22:29:00,22.48775847,91.91983943,RD-18,298,54,Truck,Very High,Storm,1095,Slippery,No,None,No,44.46,68.78,2018,1,19,22,Friday,0,0
75,2019-06-08 13:52:00,19.69999868,85.62321305,RD-315,498,37,Mixed,High,Storm,3454,Dry,No,None,Yes,41.21,68.84,2019,6,8,13,Saturday,0,1
76,2018-06-21 20:48:00,31.02158442,68.93279676,RD-318,36,117,Mixed,High,Fog,9263,Slippery,No,None,No,41.87,37.7,2018,6,21,20,Thursday,0,0
77,2019-10-11 16:31:00,16.4003693,89.73614869,RD-316,378,75,Bike,Low,Snow,5138,Under Maintenance,No,None,No,43.14,69.01,2019,10,11,16,Friday,0,0
78,2023-11-18 09:35:00,27.9820228,96.27382326,RD-126,390,106,Truck,Medium,Storm,8882,Dry,No,None,No,22.22,88.95,2023,11,18,9,Saturday,0,0
79,2019-01-12 12:36:00,11.0683514,76.86143201,RD-332,22,113,Truck,Medium,Rain,4984,Dry,No,None,Yes,30.75,84.71,2019,1,12,12,Saturday,0,1
80,2018-02-22 07:01:00,11.28390972,85.60005989,RD-152,375,96,Truck,Very High,Snow,1235,Under Maintenance,No,None,No,23.48,56.35,2018,2,22,7,Thursday,0,0
81,2020-04-13 20:43:00,26.67760883,90.29133166,RD-256,132,107,Truck,Very High,Storm,9755,Wet,No,None,No,45.89,32.4,2020,4,13,20,Monday,0,0
82,2019-03-21 15:44:00,10.39976491,86.5335804,RD-211,212,32,Bike,High,Fog,3554,Slippery,No,None,No,38.7,51.74,2019,3,21,15,Thursday,0,0
83,2020-10-14 12:36:00,12.49648375,94.75391793,RD-452,263,36,Bus,Low,Storm,4448,Under Maintenance,No,None,No,29.93,79.58,2020,10,14,12,Wednesday,0,0
84,2022-10-02 23:43:00,26.10670266,81.72685883,RD-282,212,92,Mixed,High,Storm,5753,Under Maintenance,No,None,No,21.91,72.09,2022,10,2,23,Sunday,0,0
85,2019-10-19 23:39:00,20.70790722,83.42355651,RD-246,173,12,Mixed,Very High,Clear,8745,Dry,No,None,No,29.33,57.56,2019,10,19,23,Saturday,0,0
86,2023-06-17 00:13:00,24.27759713,69.10905832,RD-32,370,48,Car,Low,Clear,2282,Dry,No,None,No,29.76,33.31,2023,6,17,0,Saturday,0,0
87,2023-10-28 23:46:00,36.33134447,94.10641805,RD-45,195,100,Bike,Very High,Snow,3773,Slippery,Yes,Minor,No,41.89,55.61,2023,10,28,23,Saturday,1,0
88,2021-10-16 21:59:00,26.3268701,75.60620154,RD-144,329,32,Mixed,Medium,Clear,379,Under Maintenance,No,None,No,39.13,58.14,2021,10,16,21,Saturday,0,0
89,2020-05-06 07:05:00,25.13467332,96.37421115,RD-197,443,116,Bike,Very High,Fog,7855,Under Maintenance,No,None,Yes,46.62,85.71,2020,5,6,7,Wednesday,0,1
90,2020-08-17 12:18:00,19.02400436,73.8610845,RD-71,131,71,Bike,High,Clear,4111,Dry,Yes,Fatal,No,34.17,68.47,2020,8,17,12,Monday,1,0
91,2018-03-09 08:53:00,26.29545025,75.35021467,RD-215,188,11,Truck,Low,Fog,3929,Under Maintenance,No,None,No,23.59,48.7,2018,3,9,8,Friday,0,0
92,2023-10-12 11:13:00,8.376986245,82.05414339,RD-103,141,10,Car,Low,Storm,6461,Dry,No,None,No,41.4,61.52,2023,10,12,11,Thursday,0,0
93,2023-03-05 10:53:00,24.16228723,87.15450223,RD-330,309,97,Bike,Low,Snow,9111,Wet,No,None,No,42.82,33.96,2023,3,5,10,Sunday,0,0
94,2023-02-20 02:41:00,9.998023455,80.77927362,RD-453,27,49,Mixed,High,Clear,1178,Wet,No,None,Yes,36.84,88.35,2023,2,20,2,Monday,0,1
95,2022-01-14 17:56:00,14.38499516,78.20267942,RD-409,27,18,Mixed,High,Clear,3350,Slippery,No,None,No,43.13,51.6,2022,1,14,17,Friday,0,0
96,2021-08-30 15:20:00,24.33050906,83.66252235,RD-270,485,49,Car,High,Snow,7844,Slippery,No,None,No,34.81,58.67,2021,8,30,15,Monday,0,0
97,2022-12-18 20:51:00,27.37056591,95.79065122,RD-128,15,63,Bike,Medium,Fog,1046,Under Maintenance,No,None,No,35.68,51.32,2022,12,18,20,Sunday,0,0
98,2019-01-06 14:37:00,19.15909967,95.89660789,RD-323,196,44,Truck,Low,Fog,7235,Under Maintenance,No,None,No,32.83,70.95,2019,1,6,14,Sunday,0,0
99,2022-01-22 08:31:00,20.15041756,77.51329887,RD-411,200,87,Car,Low,Clear,1496,Under Maintenance,No,None,No,20.76,69.73,2022,1,22,8,Saturday,0,0
100,2020-03-23 15:02:00,22.44264977,87.72460059,RD-279,52,50,Bike,Low,Fog,5846,Under Maintenance,No,None,No,23.24,72.92,2020,3,23,15,Monday,0,0
101,2019-11-04 11:37:00,30.01316362,88.93545661,RD-407,259,63,Car,Low,Fog,367,Wet,No,None,No,20.94,46.09,2019,11,4,11,Monday,0,0
102,2023-02-16 00:39:00,8.511205376,86.94909672,RD-10,206,93,Truck,Medium,Clear,274,Dry,No,None,Yes,39.09,48.94,2023,2,16,0,Thursday,0,1
103,2018-07-21 22:58:00,20.96497196,71.27729737,RD-196,212,41,Bus,Low,Clear,7626,Dry,No,None,No,29.43,37.52,2018,7,21,22,Saturday,0,0
104,2021-04-07 22:55:00,8.413934339,83.6447939,RD-401,462,86,Bus,Medium,Clear,3646,Under Maintenance,Yes,None,No,35.26,69.33,2021,4,7,22,Wednesday,1,0
105,2021-07-26 19:40:00,17.25511396,90.13429662,RD-366,274,72,Bus,Very High,Rain,7101,Wet,No,None,No,47.23,32.39,2021,7,26,19,Monday,0,0
106,2022-08-26 23:27:00,23.07561002,73.82347714,RD-184,416,69,Truck,High,Clear,7329,Under Maintenance,Yes,None,No,27.48,65.86,2022,8,26,23,Friday,1,0
107,2022-04-27 14:05:00,10.31765923,78.09805608,RD-246,276,101,Truck,High,Rain,4352,Dry,No,None,No,32.31,82.18,2022,4,27,14,Wednesday,0,0
108,2018-01-25 23:31:00,22.07119231,73.91021273,RD-279,198,32,Car,Low,Storm,6054,Slippery,No,None,No,42.67,83.45,2018,1,25,23,Thursday,0,0
109,2023-03-25 16:00:00,34.81264321,93.72092808,RD-401,344,45,Mixed,High,Fog,5705,Wet,No,None,No,26.86,56.94,2023,3,25,16,Saturday,0,0
110,2021-01-06 22:32:00,27.87492779,92.89741687,RD-249,482,87,Truck,Low,Rain,1640,Dry,No,None,No,22.31,57.56,2021,1,6,22,Wednesday,0,0
111,2023-06-23 06:42:00,30.68532748,72.90689049,RD-177,282,101,Truck,Medium,Storm,5068,Dry,No,None,No,28.69,34.62,2023,6,23,6,Friday,0,0
112,2022-11-06 19:15:00,24.83201233,90.05595681,RD-468,187,19,Bus,High,Fog,3708,Slippery,No,None,No,24.84,70.25,2022,11,6,19,Sunday,0,0
113,2018-06-21 05:35:00,33.99441042,78.55530597,RD-290,446,113,Bus,High,Fog,7362,Slippery,No,None,No,47.89,79.28,2018,6,21,5,Thursday,0,0
114,2023-08-23 04:20:00,12.25920947,87.89895853,RD-258,99,91,Bus,Medium,Fog,9478,Slippery,Yes,Fatal,No,44.24,44.68,2023,8,23,4,Wednesday,1,0
115,2022-11-10 03:46:00,21.04379496,82.30767624,RD-165,279,97,Mixed,Medium,Snow,9471,Slippery,No,None,Yes,39.0,55.28,2022,11,10,3,Thursday,0,1
116,2022-10-10 17:43:00,25.3139638,81.6873891,RD-199,48,43,Bus,Very High,Snow,7087,Wet,No,None,No,46.14,80.33,2022,10,10,17,Monday,0,0
117,2021-10-09 07:04:00,33.33078491,93.55725956,RD-139,129,82,Bus,Medium,Rain,5206,Under Maintenance,No,None,Yes,44.11,82.63,2021,10,9,7,Saturday,0,1
118,2020-02-13 07:23:00,16.93229712,86.4719637,RD-93,64,98,Mixed,Low,Rain,9092,Wet,No,None,No,25.6,44.59,2020,2,13,7,Thursday,0,0
119,2019-06-22 11:49:00,8.032711355,74.83727034,RD-14,249,70,Bus,Low,Fog,4563,Wet,No,None,No,46.78,63.03,2019,6,22,11,Saturday,0,0
120,2018-08-17 05:19:00,36.25800922,71.21200977,RD-164,274,81,Car,High,Storm,1112,Dry,No,None,No,36.18,41.55,2018,8,17,5,Friday,0,0
121,2019-10-09 10:21:00,8.75334182,95.06879845,RD-306,200,108,Car,High,Rain,8017,Dry,No,None,No,44.22,36.11,2019,10,9,10,Wednesday,0,0
122,2022-12-07 08:34:00,12.41863509,72.44819259,RD-113,292,32,Bike,Medium,Clear,9118,Dry,No,None,Yes,46.88,84.67,2022,12,7,8,Wednesday,0,1
123,2021-01-09 14:42:00,20.23934355,89.28821769,RD-16,172,35,Car,Low,Clear,2523,Dry,No,None,No,29.54,79.23,2021,1,9,14,Saturday,0,0
124,2018-08-07 07:31:00,22.39472458,82.379636,RD-459,356,16,Mixed,Medium,Rain,2683,Dry,No,None,Yes,23.3,75.6,2018,8,7,7,Tuesday,0,1
125,2019-02-19 01:17:00,32.19951277,72.0618961,RD-416,254,17,Bus,Medium,Storm,5811,Wet,Yes,Major,No,26.84,32.93,2019,2,19,1,Tuesday,1,0
126,2021-08-23 11:06:00,20.98672055,90.52301262,RD-399,473,7,Bike,Low,Clear,6735,Slippery,No,None,Yes,32.81,80.62,2021,8,23,11,Monday,0,1
127,2022-01-17 10:36:00,23.87544496,94.23005155,RD-144,325,67,Truck,High,Fog,4272,Under Maintenance,No,None,Yes,44.54,56.28,2022,1,17,10,Monday,0,1
128,2018-02-04 19:31:00,13.79999625,71.52369162,RD-30,223,33,Truck,High,Fog,8606,Wet,No,None,No,45.82,50.54,2018,2,4,19,Sunday,0,0
129,2023-04-14 20:24:00,24.50560228,69.94557601,RD-415,295,119,Car,High,Snow,3900,Under Maintenance,No,None,No,20.21,62.79,2023,4,14,20,Friday,0,0
130,2018-03-21 19:28:00,18.10312855,92.64564859,RD-242,99,68,Bike,High,Snow,2709,Under Maintenance,No,None,Yes,35.32,35.48,2018,3,21,19,Wednesday,0,1
131,2018-08-12 02:30:00,10.86323616,82.52764973,RD-272,368,98,Truck,Very High,Snow,559,Slippery,No,None,No,32.52,75.4,2018,8,12,2,Sunday,0,0
132,2021-07-10 16:53:00,35.44742385,87.56152245,RD-184,389,80,Truck,Very High,Storm,4578,Under Maintenance,No,None,No,26.66,64.95,2021,7,10,16,Saturday,0,0
133,2020-01-22 18:18:00,10.36884428,80.80292978,RD-393,176,89,Truck,High,Fog,5810,Slippery,No,None,No,23.6,41.2,2020,1,22,18,Wednesday,0,0
134,2020-07-08 19:47:00,27.65848898,79.96041944,RD-300,189,70,Car,Low,Storm,8686,Wet,No,None,No,30.13,41.29,2020,7,8,19,Wednesday,0,0
135,2021-09-14 12:37:00,34.33760143,76.69011492,RD-120,490,54,Car,Low,Clear,4658,Slippery,No,None,No,48.29,41.05,2021,9,14,12,Tuesday,0,0
136,2023-09-02 02:35:00,13.19693497,84.32491652,RD-499,113,84,Bike,Medium,Fog,1030,Slippery,No,None,No,29.7,33.42,2023,9,2,2,Saturday,0,0
137,2019-12-11 13:50:00,14.87641232,72.63442932,RD-82,67,100,Car,Very High,Snow,8883,Dry,No,None,No,35.56,65.27,2019,12,11,13,Wednesday,0,0
138,2019-01-26 09:45:00,20.37449619,88.79969232,RD-52,330,96,Car,High,Snow,562,Dry,No,None,No,41.09,80.42,2019,1,26,9,Saturday,0,0
139,2020-04-14 12:28:00,16.54078908,83.93346273,RD-127,213,77,Mixed,High,Clear,2938,Slippery,No,None,No,30.91,31.05,2020,4,14,12,Tuesday,0,0
140,2018-11-18 12:49:00,30.01196105,92.57810454,RD-337,135,21,Car,Low,Fog,279,Slippery,No,None,No,49.15,32.94,2018,11,18,12,Sunday,0,0
141,2022-12-05 04:33:00,17.80644789,94.70940921,RD-124,474,60,Bike,Medium,Storm,1464,Under Maintenance,No,None,No,48.87,64.37,2022,12,5,4,Monday,0,0
142,2022-11-30 05:17:00,36.58923067,94.11701615,RD-137,354,118,Car,Low,Storm,4686,Under Maintenance,No,None,No,27.55,79.17,2022,11,30,5,Wednesday,0,0
143,2019-06-23 15:54:00,32.90482974,85.43569652,RD-274,166,87,Car,Very High,Clear,7528,Slippery,No,None,No,34.92,49.6,2019,6,23,15,Sunday,0,0
144,2018-05-29 20:12:00,33.96497988,77.24329485,RD-418,451,11,Mixed,Low,Fog,9995,Under Maintenance,No,None,Yes,29.03,50.98,2018,5,29,20,Tuesday,0,1
145,2023-05-28 07:01:00,9.846264273,78.35791959,RD-406,264,40,Bike,High,Storm,5962,Wet,No,None,Yes,28.55,65.78,2023,5,28,7,Sunday,0,1
146,2018-11-27 00:19:00,13.11294532,86.92354586,RD-470,435,44,Truck,Low,Snow,3056,Under Maintenance,No,None,No,21.11,46.45,2018,11,27,0,Tuesday,0,0
147,2021-04-28 13:25:00,12.9116838,88.64704593,RD-378,37,5,Mixed,Low,Snow,2850,Under Maintenance,No,None,No,38.29,31.6,2021,4,28,13,Wednesday,0,0
148,2018-05-25 21:46:00,27.4869748,72.67728052,RD-29,220,46,Car,High,Storm,8257,Slippery,No,None,No,35.08,74.11,2018,5,25,21,Friday,0,0
149,2020-07-08 11:45:00,8.345429851,96.94053076,RD-392,498,40,Bus,Very High,Fog,7629,Under Maintenance,No,None,No,21.54,67.54,2020,7,8,11,Wednesday,0,0
150,2021-08-02 16:27:00,31.3863598,71.11758987,RD-486,275,117,Mixed,Very High,Storm,2181,Slippery,No,None,No,28.36,64.85,2021,8,2,16,Monday,0,0
151,2019-11-05 19:42:00,23.86433453,85.60567488,RD-113,276,43,Mixed,Very High,Clear,9725,Dry,No,None,Yes,47.25,74.5,2019,11,5,19,Tuesday,0,1
152,2019-01-30 02:23:00,24.42307792,83.39968713,RD-295,467,5,Bike,Very High,Fog,9366,Under Maintenance,No,None,No,27.19,70.51,2019,1,30,2,Wednesday,0,0
153,2019-09-16 16:31:00,23.58275624,85.13865716,RD-434,263,116,Truck,High,Storm,8288,Slippery,No,None,No,24.35,42.35,2019,9,16,16,Monday,0,0
154,2023-09-24 12:37:00,23.5250308,83.47918104,RD-409,197,92,Truck,Very High,Snow,9058,Slippery,No,None,No,34.68,51.15,2023,9,24,12,Sunday,0,0
155,2018-09-18 12:49:00,13.73869616,69.67939356,RD-199,39,67,Truck,High,Fog,7347,Under Maintenance,No,None,No,49.57,37.57,2018,9,18,12,Tuesday,0,0
